canonical_name,category,parent,learning_cost,esco_id,aliases_zh,aliases_en,description
Python,language,-,low,-,派森|Python语言,python|python3|py,Python 编程语言
Java,language,-,mid,-,爪哇|Java语言,java|jdk,Java 编程语言
Go,language,-,mid,-,Go语言|Golang开发,golang|go,Go 编程语言
C++,language,-,mid,-,C++语言,c++|cpp,C++ 编程语言
JavaScript,language,-,mid,-,JS开发,javascript|js,JavaScript 编程语言
TypeScript,language,-,mid,-,TS开发,typescript,TypeScript 编程语言
Rust,language,-,high,-,Rust语言,rust,Rust 编程语言
C#,language,-,mid,-,C#语言,c#|c sharp,C# 编程语言
PHP,language,-,mid,-,PHP开发,php,PHP 编程语言
Kotlin,language,-,mid,-,Kotlin开发,kotlin,Kotlin 编程语言
Scala,language,-,high,-,Scala语言,scala,Scala 编程语言
LLM 应用开发,engineering,-,mid,-,大模型应用开发|LLM应用开发,llm application|llm app,LLM 应用开发总体能力
LangChain,agent_framework,-,mid,-,兰链,langchain|lang chain,LLM 应用编排框架
LangGraph,agent_framework,LangChain,mid,-,-,langgraph|lang graph,图结构 Agent 编排
AutoGen,agent_framework,-,mid,-,-,autogen,多 Agent 对话框架
CrewAI,agent_framework,-,low,-,-,crewai|crew ai,角色分工 Agent 框架
RAG,retrieval,-,mid,-,检索增强生成|RAG技术,rag|retrieval augmented generation,检索增强生成
Prompt Engineering,engineering,-,low,-,提示词工程|提示工程,prompt engineering|prompting,提示词工程
MCP,engineering,-,mid,-,模型上下文协议,model context protocol|mcp,Model Context Protocol
Dify,engineering,-,low,-,迪飞,dify,Dify 低代码平台
FastAPI,engineering,-,low,-,-,fastapi|fast api,Python Web 框架
Docker,engineering,-,low,-,容器技术|docker容器,docker|docker compose,容器化
Kubernetes,engineering,-,high,-,K8s|容器编排,kubernetes|k8s,容器编排
PostgreSQL,data,-,low,-,PG数据库|postgres数据库,postgresql|postgres|psql,关系型数据库
MySQL,data,-,low,-,-,mysql,关系型数据库
Redis,data,-,mid,-,-,redis,缓存与消息队列
pgvector,retrieval,-,mid,-,PG向量插件,pgvector|pg vector,PostgreSQL 向量扩展
Milvus,retrieval,-,high,-,-,milvus,向量数据库
Chroma,retrieval,-,low,-,-,chroma|chromadb,嵌入式向量数据库
Qdrant,retrieval,-,mid,-,-,qdrant,向量数据库
Neo4j,retrieval,-,mid,-,-,neo4j,图数据库
SFT/LoRA,serving,-,high,-,微调|大模型微调|LoRA微调,sft|lora|fine-tuning|finetuning,监督微调与低秩适配
vLLM,serving,-,high,-,推理引擎,vllm|v-llm,高吞吐推理服务
Evaluation（LLM 评测）,engineering,-,mid,-,LLM评测|大模型评测|评测体系,llm evaluation|eval,LLM 评测方法
多模态,serving,-,high,-,多模态大模型,multimodal|multi-modal,多模态模型开发
Function Calling,agent_framework,-,low,-,函数调用|工具调用,function calling|tool calling,函数调用能力
ReAct,agent_framework,-,low,-,ReAct模式,react,推理+行动范式
上下文管理,retrieval,-,mid,-,长上下文|context管理,context management|long context,上下文窗口管理
AI Coding,engineering,-,low,-,AI编程|AI辅助编程,ai coding|cursor|copilot,AI 辅助编程
Linux,engineering,-,mid,-,Linux系统|Linux操作,linux,Linux 操作系统与 Shell 环境
SQL,data,-,low,-,SQL查询|SQL语言,sql,结构化查询语言
网络协议,engineering,-,mid,-,TCP/IP|HTTP协议|网络编程,tcp/ip|tcpip|http|network protocol,网络与协议基础
Git,engineering,-,low,-,版本控制|Git版本管理,git|github|gitlab,版本控制工具
Shell 脚本,engineering,-,low,-,Shell编程|脚本编写,shell|bash|shell scripting,Shell 脚本编写
Spring Boot,engineering,-,mid,-,SpringBoot框架,spring boot|springboot,Java 后端框架
Spring AI,engineering,-,mid,-,-,spring ai,Spring 生态 LLM 框架
Django,engineering,-,mid,-,-,django,Python Web 框架
Flask,engineering,-,low,-,-,flask,Python Web 框架
Node.js,engineering,-,mid,-,Node开发,node.js|nodejs|node js,JavaScript 运行时
Nginx,engineering,-,low,-,-,nginx,反向代理与 Web 服务器
Jenkins,engineering,-,low,-,-,jenkins,CI 服务器
CI/CD,engineering,-,low,-,持续集成|持续交付,ci/cd|ci cd|cicd|continuous integration,持续集成与交付
gRPC,engineering,-,mid,-,-,grpc,高性能 RPC 框架
GraphQL,engineering,-,mid,-,-,graphql,API 查询语言
微服务,engineering,-,mid,-,微服务架构,microservice|microservices|micro-service,微服务架构
分布式系统,engineering,-,high,-,分布式架构,distributed system|distributed systems,分布式系统设计
MongoDB,data,-,mid,-,-,mongodb|mongo,文档数据库
Elasticsearch,data,-,mid,-,ES搜索引擎|全文检索引擎,elasticsearch|elastic search,搜索与日志分析引擎
Kafka,data,-,mid,-,-,kafka,分布式消息流平台
RabbitMQ,data,-,low,-,-,rabbitmq|rabbit mq,消息队列
ClickHouse,data,-,mid,-,-,clickhouse|click house,列式分析数据库
Spark,data,-,mid,-,-,spark|apache spark,大数据计算引擎
